time;LAT;LON;GSPEED;CRS
0.0;0.0;0.0;3.888;3.9837045454545454
0.097;-0.13668367639183998;-0.07507201051339507;3.7079999999999997;3.9218749090909095
0.202;-0.2671466423198581;-0.1269760369323194;3.9959999999999996;3.9194056363636363
0.3;-0.40071996208280325;-0.1904640607535839;4.032;3.9385085454545457
0.404;-0.5342932837083936;-0.25395208364352584;3.78;3.945787090909091
0.505;-0.6678666053339839;-0.31744011072441936;4.032;3.9624161818181816
0.607;-0.8014399288222194;-0.3809281368739903;4.032;3.9624161818181816
0.708;-0.9350132495164871;-0.4444161672145128;4.032;3.941210909090909
0.813;-1.0685865730047226;-0.5079042008146644;4.032;3.932279818181818
0.913;-1.20527024846524;-0.5829762276262045;3.9239999999999995;3.926551090909091
1.029;-1.338843572884798;-0.6464642630890012;4.032;3.9235816363636364
1.114;-1.4724168917164207;-0.7099523055367172;4.068;3.915605090909091
1.225;-1.609100571833551;-0.7850243379361928;3.888;3.957827090909091
1.32;-1.7426738925278187;-0.8485123827122152;4.212;3.9177014545454547
1.424;-1.8914342895150185;-0.9203417641110718;4.068;3.941653272727273
1.524;-2.0250076157972217;-0.9838298140093684;4.319999999999999;3.946127090909091
1.627;-2.1737680081278086;-1.0556592028588057;4.14;3.925475272727273
1.729;-2.307341331616044;-1.1191472569480538;4.14;3.933938727272727
1.831;-2.4561017248779535;-1.1909766527824104;4.212;3.9307956363636363
1.932;-2.5927854040637612;-1.266048701480031;4.319999999999999;3.9366845454545456
2.4;-2.729469080455601;-1.3411207576282322;4.14;3.9276503636363636
2.142;-2.8782294765114784;-1.4129501567222178;4.356;3.9382629090909087
2.238;-3.026989871636033;-1.4847795637324452;4.284;3.936476909090909
2.34;-3.175750268623233;-1.5566089721396565;4.5;3.9333596363636363
2.443;-3.3276210222393274;-1.6400223770178854;4.356;3.9093192727272728
2.543;-3.488458137959242;-1.7086091358214617;4.572;3.890094909090909
2.646;-3.625141814351082;-1.7836812073364854;4.68;3.973841454545455
2.748;-3.785978932864964;-1.8522679721936584;4.356;3.9340514545454544
2.85;-3.937849679030478;-1.9356813891790807;4.4639999999999995;3.89981
2.953;-4.089720432646573;-2.0190948084928095;4.752;3.9816092727272725
3.064;-4.265744626522064;-2.0960229262709618;4.787999999999999;3.8633496363636364
3.16;-4.429692097939551;-2.176193698775023;4.968;3.9198910909090907
3.257;-4.596749923191965;-2.267948471941054;5.4;3.9639456363636363
3.359;-4.775884467177093;-2.356460595037788;5.183999999999999;3.9257767272727273
3.461;-4.970206091180444;-2.4533140677958727;5.183999999999999;3.93686
3.563;-5.1645277086645365;-2.5501675456762314;5.832;3.931058727272727
3.667;-5.370926053263247;-2.6437783734872937;5.688;3.9459372727272726
3.766;-5.580434746108949;-2.748973206616938;6.156;3.9068638181818183
3.868;-5.789943444542587;-2.854168043471873;6.228;3.9429480000000003
3.98;-6.017749565653503;-2.9792882297188044;6.4799999999999995;3.9183338181818184
4.084;-6.254522059112787;-3.0895817736163735;6.983999999999999;3.9300681818181817
4.18;-6.4944049045443535;-3.2114593223668635;7.055999999999999;3.929598181818182
4.278;-6.752585174515843;-3.353262223303318;7.127999999999999;3.9220196363636366
4.378;-7.004544741474092;-3.4718971345573664;7.704;3.9013138181818183
4.481;-7.262725008651614;-3.6137000555172563;7.595999999999999;3.9168605454545458
4.714;-7.830502794124186;-3.895919317845255;7.9559999999999995;3.9240761818181817
4.838;-8.285750356502831;-4.096581170335412;8.676;3.935811818181818
4.939;-8.586381493136287;-4.251824184320867;8.424;3.9433414545454544
5.061;-8.899089359678328;-4.403824562672526;9.0;3.923734181818182
5.15;-9.245281726121902;-4.584091655910015;9.828;3.929466909090909
5.247;-9.594584437087178;-4.7759427656419575;10.223999999999998;3.9286100000000004
5.349;-9.964930250309408;-4.949724595993757;10.764;3.9023529090909093
5.452;-10.329420037567616;-5.149917092639953;10.872;3.923636363636364
5.551;-10.742216722108424;-5.337139023002237;11.34;3.9319801818181817
5.651;-11.133970303460956;-5.542430266272277;11.556;3.928946727272727
5.754;-11.556098035536706;-5.764404244720936;12.203999999999999;3.9557323636363635
5.856;-11.97822576481849;-5.986378245986998;12.78;3.90463
5.964;-12.442804367281497;-6.221792341675609;13.392;3.965209090909091
6.072;-12.93153642397374;-6.45072117401287;13.716;3.945958
6.17;-13.402335723862052;-6.7093033362179995;14.363999999999999;3.9015914545454544
6.266;-13.927662617526948;-6.978082961868495;14.796;3.926773818181818
6.368;-14.48610935267061;-7.2255506864748895;15.084;3.920836545454545
6.469;-15.008690556511283;-7.532325046136975;16.2;3.9109561818181815
6.57;-15.591655398719013;-7.822886232286692;16.56;3.9010252727272725
6.674;-16.18980731256306;-8.121788829565048;17.244;3.9116934545454543
6.776;-16.803146303631365;-8.429032834712416;18.107999999999997;3.9237687272727273
6.877;-17.431672360748053;-8.744618259370327;18.395999999999997;3.9332832727272726
6.988;-18.07849583402276;-9.080129113979638;19.116;3.9213792727272727
7.594;-22.39089536201209;-11.349921976216137;22.932;3.9107176363636365
7.694;-23.17440247349441;-11.760505663231015;23.291999999999998;3.908284181818182
7.796;-23.98828372452408;-12.187772193923593;24.048;3.911523090909091
7.898;-24.817352042533457;-12.623380193952471;24.695999999999998;3.915778181818182
8.017;-25.670573827810585;-13.05250301444903;25.308;3.907250181818182
8.112;-26.54209302086383;-13.501551334746182;25.883999999999997;3.922346181818182
8.207;-27.44087601825595;-13.95569850737229;26.424;3.9160865454545455
8.303;-28.354846082627773;-14.418187175877392;26.855999999999998;3.920945272727273
8.409;-29.299190289340913;-14.897358732298017;27.828;3.9166396363636364
8.51;-30.267687967978418;-15.370045144110918;28.403999999999996;3.925564
8.615;-31.242406314238906;-15.865899723954499;28.944;3.9252276363636365
8.714;-32.25646520219743;-16.363610566593707;29.555999999999997;3.9276560000000003
8.815;-33.2857111627236;-16.869662939105183;30.095999999999997;3.931268363636364
8.918;-34.354297675192356;-17.3775715935044;30.779999999999998;3.934562545454545
9.034;-35.425994514487684;-17.897064419463277;31.319999999999997;3.9372705454545454
9.125;-36.52495517209172;-18.421656171791255;32.004;3.935508
9.228;-37.654289971105754;-18.96293088933453;32.436;3.9451725454545454
9.327;-38.81985500268638;-19.494477899745107;33.156;3.9553052727272724
9.431;-39.98853036016226;-20.037609110120684;33.732;3.9594614545454543
9.533;-41.19343595672399;-20.571012624073774;34.379999999999995;3.9566241818181815
9.636;-42.41352863609791;-21.112757730763406;34.559999999999995;3.9714400000000003
9.736;-43.65777481533587;-21.648017779923975;35.064;3.9681814545454546
9.839;-44.92031839862466;-22.203203471377492;35.64;3.9889507272727274
9.941;-46.20079484488815;-22.72873604018241;36.108;3.980078909090909
10.057;-47.48438162729144;-23.265852839220315;36.035999999999994;3.9991925454545454
10.144;-48.77693485375494;-23.788143172394484;36.251999999999995;4.000433818181818
10.256;-50.06948809791356;-24.310433693230152;36.071999999999996;4.016412363636364
10.349;-51.35893103480339;-24.8211403619498;36.035999999999994;4.006900181818182
10.453;-52.65734043158591;-25.317020555958152;35.891999999999996;4.0175185454545455
10.554;-53.95574984699488;-25.812900939490646;35.748;4.022962909090909
10.658;-55.263125725090504;-26.293954849243164;35.711999999999996;4.035009818181819
10.758;-56.58257838524878;-26.771766336634755;35.64;4.039011272727273
10.861;-57.8899543127045;-27.252820616122335;35.82;4.049256
10.967;-59.203186394646764;-27.707464371342212;35.532;4.052767454545455
11.075;-60.519528824836016;-28.17369235912338;35.352;4.061492181818182
11.179;-61.84172741416842;-28.613509816583246;35.315999999999995;4.065923818181818
11.273;-63.16392603609711;-29.053327452391386;35.099999999999994;4.073878727272727
11.373;-64.49820145312697;-29.48990267002955;35.315999999999995;4.076307818181818
11.478;-65.82936659734696;-29.91489400714636;35.064;4.0860425454545455
11.579;-67.16949822567403;-30.325058863963932;35.099999999999994;4.091298545454546
11.682;-68.49444282893091;-30.726882429793477;34.775999999999996;4.100083090909091
11.784;-69.84665130078793;-31.13380504027009;34.812;4.109412727272727
11.884;-71.19263920281082;-31.51755969878286;34.848;4.116894727272728
11.992;-72.53862715233117;-31.901314529124647;34.668;4.120047636363636
12.106;-73.89358160551637;-32.27024286799133;34.632;4.128836
12.194;-75.26061286963522;-32.63592878775671;34.704;4.137781454545454
12.293;-76.60934680700302;-32.98168933112174;34.596;4.148694909090909
12.397;-77.98223433736712;-33.320964853744954;34.343999999999994;4.160283818181818
12.497;-79.37927545886487;-33.65375536354259;34.416;4.168796545454545
12.6;-80.75801926385611;-33.96662048250437;34.272;4.186474545454545
12.702;-82.14883989747614;-34.27624317770824;34.272;4.186474545454545
12.799;-83.53343998547643;-34.56269788183272;34.092;4.2057614545454545
12.904;-84.93908338341862;-34.83108348445967;33.983999999999995;4.216124727272727
13.018;-86.3326500793919;-35.10271183727309;33.948;4.232193272727273
13.115;-87.75037038791925;-35.3678551777266;33.948;4.237946727272727
13.22;-89.16187016479671;-35.609830506611615;33.768;4.254985272727273
13.315;-90.55818293988705;-35.843464490026236;33.552;4.259650181818182
13.416;-91.96657256316394;-36.07385603711009;33.696;4.265552727272727
13.518;-93.38392874319106;-36.28942106291652;33.407999999999994;4.275683636363636
13.621;-94.80439529474825;-36.51657033665106;33.588;4.279973090909091
13.716;-96.2065645409748;-36.72379415715113;33.3;4.282184
13.824;-97.62392094545066;-36.93935963604599;33.263999999999996;4.286874181818182
13.925;-99.02609034534544;-37.146583752240986;33.3;4.288070545454546
14.046;-100.4282598188147;-37.35380801605061;33.227999999999994;4.286116909090909
14.138;-101.84250615350902;-37.55778984632343;33.047999999999995;4.292632363636363
14.235;-103.24156548175961;-37.75343030318618;33.12;4.298996545454545
14.335;-104.679965544492;-37.95092727150768;32.94;4.298638
14.437;-106.07591473218054;-38.13498391211033;32.867999999999995;4.306643090909091
14.537;-107.47497429419309;-38.33062480110675;32.76;4.309322363636364
14.637;-108.88300042413175;-38.511439147405326;32.616;4.309214363636364
14.744;-110.27583955507725;-38.683912101667374;32.867999999999995;4.314438909090909
14.844;-111.68386584334075;-38.86472673341632;32.687999999999995;4.315729090909091
14.946;-113.06151804234833;-39.02885842556134;32.58;4.318568727272727
15.064;-114.46643419284374;-39.1980892191641;32.4;4.324390363636363
15.154;-115.85927362926304;-39.3705627261661;32.4;4.331866727272727
15.258;-117.26107965409756;-39.528209678363055;32.22;4.332469090909091
15.362;-118.64769866503775;-39.67751521943137;32.256;4.335659090909091
15.456;-120.03742805030197;-39.83840501168743;32.147999999999996;4.342107818181819
15.554;-121.42404722701758;-39.98771081492305;32.004;4.336382727272727
15.662;-122.81066647171974;-40.13701675320044;32.04;4.341541818181818
15.762;-124.18831929471344;-40.301149514038116;31.895999999999997;4.334190363636364
15.864;-125.56286190357059;-40.4536982816644;31.715999999999998;4.338444
15.974;-126.93429429922253;-40.59466305049136;31.932;4.3312492727272724
16.085;-128.29987055063248;-40.76203877525404;31.464;4.338838
16.171;-129.66544687189162;-40.92941462993622;31.787999999999997;4.320444181818182
16.277;-131.0068696560338;-41.10327575169504;31.427999999999997;4.319326545454546
16.372;-132.36036932002753;-41.273894435726106;31.499999999999996;4.322378909090909
16.474;-133.69282572623342;-41.462582517880946;31.464;4.320093818181818
16.579;-135.02839248534292;-41.66285486984998;31.284;4.290766
16.68;-136.33980569522828;-41.86961248051375;31.355999999999998;4.297066727272727
16.781;-137.6422524433583;-42.09119692677632;31.211999999999996;4.264688545454546
16.884;-138.94780953601003;-42.324365649838;30.959999999999997;4.273199818181818
16.99;-140.21713625174016;-42.56726219318807;31.247999999999998;4.2490581818181825
17.095;-141.46852996572852;-42.839812281075865;30.923999999999996;4.2315510909090905
17.192;-142.73511082027107;-43.120704089291394;30.599999999999998;4.195809818181818
17.3;-143.95649475231767;-43.42615042254329;30.851999999999997;4.191476
17.392;-145.16891219187528;-43.746423597913235;30.671999999999997;4.164724727272727
17.496;-146.34820950776339;-44.088008732534945;30.491999999999997;4.143341636363637
17.601;-147.5095737790689;-44.45924742333591;30.491999999999997;4.143341636363637
17.699;-148.65300500392914;-44.860139665193856;30.455999999999996;4.087794
17.804;-149.7481289776042;-45.274002264719456;30.528;4.055921818181818
17.904;-150.8373967036605;-45.714275864418596;30.311999999999998;4.020570909090909
18.023;-151.88146744389087;-46.17910396773368;30.203999999999997;4.001954545454545
18.164;-153.40255869645625;-46.925690326374024;30.275999999999996;3.9681143636363636
18.259;-154.36831224896014;-47.436384928412735;29.843999999999998;3.929732181818182
18.366;-155.3040558733046;-47.97997562447563;29.555999999999997;3.8943558181818183
18.465;-156.21564584039152;-48.53005153918639;29.555999999999997;3.8744567272727273
18.566;-157.09411559812725;-49.101439375430346;29.627999999999997;3.841924727272727
18.671;-157.92738831415772;-49.6973816761747;29.555999999999997;3.8056158181818183
18.77;-158.73650735244155;-50.2998091741465;29.339999999999996;3.7772874545454544
18.874;-159.49146278388798;-50.94161783205345;29.016;3.7480058181818183
18.981;-160.22537479083985;-51.60149584105238;29.195999999999998;3.7077536363636363
19.088;-160.8957923669368;-52.266002488322556;28.944;3.6823354545454543
19.183;-161.56657414417714;-52.98008842766285;28.871999999999996;3.6467163636363638
19.283;-162.16178464423865;-53.70204553427175;28.799999999999997;3.6055194545454547
19.387;-162.72076461091638;-54.433730331715196;28.764;3.567861272727273
19.485;-163.2072835592553;-55.18487042747438;28.871999999999996;3.5381487272727274
19.589;-163.6696487981826;-55.942495649214834;28.944;3.4996294545454547
19.691;-164.09889375511557;-56.72143270261586;28.548;3.463306727272727
19.793;-164.4798313351348;-57.513339940458536;28.691999999999997;3.427395818181818
19.893;-164.8124615419656;-58.31821735110134;28.403999999999996;3.3943996363636364
19.999;-165.10886119585484;-59.13282239064574;28.548;3.3633441818181815
20.097;-165.35695346817374;-59.96039758017287;28.151999999999997;3.3216514545454547
20.203;-165.5446615247056;-60.80418544029817;28.259999999999998;3.2891712727272724
20.311;-165.7051056046039;-61.64287419244647;28.296;3.2481896363636364
20.407;-165.80516546964645;-62.49777558958158;28.188;3.214350181818182
20.506;-165.88418186362833;-63.37074620043859;28.8;3.177262909090909
20.611;-165.908670370467;-64.2335185627453;27.935999999999996;3.139078545454545
20.711;-165.86966441199183;-65.10091936355457;27.971999999999998;3.1054061818181817
