TIME,x,y,CRS
0.0,0.0,0.0,-0.0
0.25,0.0,0.0,-0.0
0.5,-0.0424128215028,-0.0459064554298,3.84517306884e-10
0.75,-0.127238464103,-0.137719365849,0.826128530075
1.0,-0.256531113305,-0.273512080084,2.04972676707
1.25,-0.432906337728,-0.450689337995,3.32943286057
1.5,-0.658468292429,-0.666971689462,4.06301709001
1.75,-0.932580160815,-0.922877306546,4.8254249167
2.0,-1.25648506255,-1.21697230196,5.34552276819
2.25,-1.62982384644,-1.54956537842,5.19626565126
2.5,-2.04881303122,-1.92487100887,5.2337232501
2.75,-2.51464046272,-2.34156011098,4.98449990099
3.0,-3.02496841079,-2.80223531111,4.87839840929
3.25,-3.58071928575,-3.30586312024,4.659406358
3.5,-4.18060557853,-3.85385280245,4.69437649642
3.75,-4.82701206491,-4.44358465757,4.60355546805
4.0,-5.51854612158,-5.07658300324,4.33616790236
4.25,-6.25289120602,-5.75535933212,4.21033961962
4.5,-7.03148086602,-6.47834231915,4.13363493029
4.75,-7.8548015106,-7.24500269054,3.96936872546
5.0,-8.72144135742,-8.0568472788,4.0068933203
5.25,-9.63427666098,-8.91079793237,3.81140439165
5.5,-10.5895606857,-9.81084720489,3.9671062335
5.75,-11.5929997326,-10.7509190589,3.69589496217
6.0,-12.6371905998,-11.7388824666,3.4649331516
6.25,-13.7224423343,-12.7743672252,3.36312821131
6.5,-14.8509144127,-13.8550878327,3.33643436961
6.75,-16.0239797353,-14.9796067354,3.43203829214
7.0,-17.2441909927,-16.1452570911,3.65057998945
7.25,-18.5143884964,-17.3490420871,3.94969208798
7.5,-19.8367111844,-18.5886464491,3.86882572784
7.75,-21.2027442936,-19.8730056514,4.68583510757
8.0,-22.6338701282,-21.1790627375,4.10031968057
8.25,-24.0967254204,-22.5429008551,6.09821212347
8.5,-25.6553785495,-23.8936438695,4.13930972031
8.75,-27.2106891722,-25.3416196583,7.46059170313
9.0,-28.8987817915,-26.7328419904,4.89956738571
9.25,-30.566615813,-28.2430835922,8.63907566631
9.5,-32.3822719191,-29.6752320389,5.8361577563
9.75,-34.1696533656,-31.2391670071,10.0646139669
10.0,-36.1219320161,-32.6986238712,7.11418529666
10.25,-38.0411284288,-34.3007116178,11.7058580142
10.5,-40.1383881681,-35.77309331,8.47386681337
10.75,-42.1945106952,-37.404958857,13.3343919225
11.0,-44.4388284219,-38.8833682032,9.86728555122
11.25,-46.6178239705,-40.5245304852,14.7721702593
11.5,-48.9766810658,-41.9914464969,11.0519694889
11.75,-51.2309975526,-43.6144395822,16.7796045375
12.0,-53.6418124259,-44.9943022655,12.8904229802
12.25,-55.949110385,-46.5410490152,18.5257192637
12.5,-58.4025103103,-47.8436917844,14.6252003476
12.75,-60.7574391242,-49.3169058423,20.5765558404
13.0,-63.2576952628,-50.5271820997,16.2669360337
13.25,-65.655543552,-51.9294563105,21.9863248965
13.5,-68.1859969952,-53.0752550495,17.85522035
13.75,-70.6233346324,-54.407709408,23.5073260359
14.0,-73.1845030501,-55.4831003622,18.9205540499
14.25,-75.6471911068,-56.768097214,24.3072808631
14.5,-78.2237292426,-57.8061244812,19.978219641
14.75,-80.7106712888,-59.0435284715,25.3094609264
15.0,-83.305695025,-60.0344377423,20.6043994914
15.25,-85.8065635433,-61.2434480944,25.6948449801
15.5,-88.4084668018,-62.2161499016,21.2597182489
15.75,-90.9235626852,-63.395277577,26.1894273344
16.0,-93.5341075583,-64.3445430005,21.1898341486
16.25,-96.0477031889,-65.5268654545,26.0595000326
16.5,-98.655998316,-66.4822951517,20.8705960289
16.75,-101.162689054,-67.6791873444,24.820767498
17.0,-103.748805909,-68.6931148517,18.8039354949
17.25,-106.208763805,-69.9833305409,22.2829109697
17.5,-108.745359117,-71.1154672821,16.9569105502
17.75,-111.160609779,-72.4875509536,18.3285997108
18.0,-113.609325296,-73.7989783027,10.5896992379
18.25,-115.849921201,-75.4408611743,11.5268119418
18.5,-118.118165609,-77.0443313754,2.26395513139
18.75,-120.085543389,-79.0053194038,2.64629981839
19.0,-122.065352562,-80.9514499116,-6.23839247984
19.25,-123.707329889,-83.1919765887,-10.2547997534
19.5,-125.181460652,-85.5463316676,-21.8477455229
19.75,-126.130379282,-88.1570026149,-26.0348231716
20.0,-126.877994449,-90.8322822138,-39.4750959793
20.25,-126.956131061,-93.6089608087,-47.1051692227
20.5,-126.649546632,-96.3697678191,-58.5075104618
20.75,-125.781260713,-99.0083524645,-65.1246479987
21.0,-124.602564359,-101.523650514,-74.4647156098
21.25,-123.015726856,-103.80356194,-79.1783779447
21.5,-121.239557413,-105.939275284,-86.5795361169
21.75,-119.192916372,-107.817388653,-88.072146551
22.0,-117.096066269,-109.639274769,-94.3160539232
22.25,-114.806327118,-111.211898055,-93.2249917645
22.5,-112.548233347,-112.829631624,-99.5549545417
22.75,-110.119303586,-114.177351768,-98.3293974487
23.0,-107.721005382,-115.578856352,-103.555564262
23.25,-105.200553832,-116.746492154,-99.8484351994
23.5,-102.764467233,-118.081232375,-105.039739633
23.75,-100.213428476,-119.180436924,-100.779924107
24.0,-97.7550869485,-120.473729741,-106.165335593
24.25,-95.1820883317,-121.520499771,-101.743977982
24.5,-92.7014564422,-122.770505694,-106.653350196
24.75,-90.1192712497,-123.79440462,-102.086340164
25.0,-87.6309064744,-125.02894507,-107.422436581
25.25,-85.0346566216,-126.01663737,-102.8677507
25.5,-82.5290038837,-127.21570106,-108.461424555
25.75,-79.9145601839,-128.154175097,-104.917018223
26.0,-77.3659804289,-129.259069034,-111.392394828
